,Film_title,Director,Average_rating,Genres,Runtime,Original_language,Description,Studios,Watches,List_appearances,Likes,Fans,Lowest★,Medium★★★,Highest★★★★★,Total_ratings
282,Gold,Stephen Gaghan,3.09,"['Drama', 'Adventure', 'Thriller']",121.0,English,"Kenny Wells, a modern-day prospector, hustler, and dreamer, is desperate for a lucky break. Left with few options, Wells teams up with an equally luckless geologist to execute a grandiose, last-ditch effort: to find gold deep in the uncharted jungle of Indonesia.","['Living Films', 'Black Bear Pictures', 'Boies/Schiller Film Group', 'Hwy61']",35185,4970,3959,20,347,8182,460,24862
283,The Terminator,James Cameron,3.89,"['Thriller', 'Action', 'Science Fiction']",108.0,English,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?","['Hemdale', 'Pacific Western']",1222246,168248,297084,3700,2504,100610,95742,696385
284,They Call Me Macho Woman,Patrick G. Donahue,3.06,"['Action', 'Thriller']",81.0,English,"A young widow on a trip to the backwoods stumbles upon the operation of a gang of drug smugglers. They attempt to kill her in order to keep their operation a secret, but she turns out to be more resourceful than they thought, and starts to turn the tables on them.",['Troma Entertainment'],919,860,281,1,39,159,21,707
285,Dazed and Confused,Richard Linklater,3.93,"['Drama', 'Comedy']",102.0,English,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.","['Gramercy Pictures', 'Alphaville Films', 'Detour Filmproduction']",652072,157963,221276,21000,2533,52165,93631,426670
286,Life of Pi,Ang Lee,3.73,"['Drama', 'Adventure']",127.0,English,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.","['Fox 2000 Pictures', 'Dune Entertainment', 'Ingenious Media', 'Haishang Films', 'Netter Productions', 'India Take One', 'Big Screen Productions']",1401368,97770,270925,4500,6978,131639,89419,725689
287,An American Werewolf in London,John Landis,3.84,"['Comedy', 'Horror']",97.0,English,"American tourists David and Jack are savaged by an unidentified vicious animal whilst hiking on the Yorkshire Moors. Retiring to the home of a beautiful nurse to recuperate, David soon experiences disturbing changes to his mind and body.","['American Werewolf Inc.', 'Lyncanthrope Films', 'Universal Pictures', 'Guber/Peters Company', 'PSO', 'Polygram Pictures']",351893,120008,112726,3400,1017,32905,33333,237449
288,The Jungle Book,Jon Favreau,3.19,"['Family', 'Fantasy', 'Drama', 'Adventure']",106.0,English,"A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.","['Walt Disney Pictures', 'Fairview Entertainment', 'Moving Picture Company']",688193,53212,81032,149,6537,101139,13439,335654
289,The Accountant,Gavin O'Connor,3.29,"['Crime', 'Drama', 'Thriller']",128.0,English,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.","['Zero Gravity Management', 'Electric City Entertainment', 'RatPac Entertainment', 'Warner Bros. Pictures']",310375,29192,56424,559,2355,57481,9015,213417
290,Harry Potter and the Deathly Hallows: Part 2,David Yates,3.99,"['Fantasy', 'Adventure']",130.0,English,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","['Warner Bros. Pictures', 'Heyday Films']",2828322,213079,666940,6700,9156,177075,375171,1446374
291,True Grit,"Ethan Coen, Joel Coen",3.82,"['Drama', 'Western', 'Adventure']",110.0,English,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.","['Paramount Pictures', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance Media']",484975,86403,106887,887,1042,45434,22168,292975
292,Empire of Dreams: The Story of the Star Wars Trilogy,"Edith Becker, Kevin Burns",3.98,['Documentary'],151.0,English,"From the earliest versions of the script to the blockbuster debuts, explore the creation of the Star Wars Trilogy.","['Fox Television Studios', 'Lucasfilm Ltd.', 'Prometheus Entertainment']",20988,3227,5735,14,22,1198,2016,11689
293,Easy Rider,Dennis Hopper,3.76,"['Adventure', 'Drama']",95.0,English,"Wyatt and Billy, two Harley-riding hippies, complete a drug deal in Southern California and decide to travel cross-country in search of spiritual truth.","['Columbia Pictures', 'Pando Company Inc.', 'BBS Productions']",191772,63428,45267,1200,1054,19858,12822,119199
294,Avatar,James Cameron,3.64,"['Fantasy', 'Science Fiction', 'Adventure', 'Action']",162.0,English,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']",3264264,195157,739766,23000,35948,324095,352470,1839188
295,John Wick,Chad Stahelski,3.82,"['Action', 'Thriller']",101.0,English,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,"['87Eleven', 'DefyNite Films', 'MJW Films', 'Thunder Road']",2065618,170201,614289,10000,8213,187706,207805,1338372
296,The Wizard of Oz,Victor Fleming,3.95,"['Adventure', 'Family', 'Fantasy']",102.0,English,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",['Metro-Goldwyn-Mayer'],1242124,182239,301146,12000,3907,89034,155086,653540
297,Pet Sematary,Mary Lambert,3.23,"['Fantasy', 'Horror', 'Drama', 'Thriller']",102.0,English,"After the Creed family's cat is accidentally killed, a friendly neighbor advises its burial in a mysterious nearby cemetery.",['Paramount Pictures'],230266,58219,44746,815,2064,38580,9457,137055
298,Brokeback Mountain,Ang Lee,4.13,"['Romance', 'Drama']",134.0,English,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.","['Focus Features', 'River Road Entertainment', 'Alberta Film Entertainment']",1484396,250166,530461,43000,4488,86806,307461,1011782
299,Naked Lunch,David Cronenberg,3.74,"['Crime', 'Drama']",115.0,English,"Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.","['Recorded Picture Company', 'Naked Lunch Productions']",129157,49884,36455,1200,808,13499,9332,84342
300,Columbus,Kogonada,3.97,['Drama'],104.0,English,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey, a young architecture enthusiast who works at the local library.","['Nonetheless Productions', 'Depth of Field', 'Superlative Films']",153982,58419,57057,4900,619,13268,18895,116576
301,Lara Croft: Tomb Raider,Simon West,2.66,"['Adventure', 'Action', 'Fantasy', 'Thriller']",100.0,English,"Orphaned heiress, English aristocrat and intrepid archaeologist, Lara Croft, embarks on a dangerous quest to retrieve the two halves of an ancient artifact which controls time before it falls into the wrong hands. As an extremely rare planetary alignment is about to occur for the first time in 5,000 years, the fearless tomb raider will have to team up with rival adventurers and sworn enemies to collect the pieces, while time is running out. But, in the end, who can harness the archaic talisman's unlimited power?","['Paramount Pictures', 'Mutual Film Company', 'Lawrence Gordon Productions', 'Marubeni', 'Eidos Films', 'BBC Film', 'KFP Produktions', 'TOHO-TOWA', 'H2L Media Group', 'Tele München']",316933,24770,27765,334,7850,38106,5640,142043
302,Blue Is the Warmest Color,Abdellatif Kechiche,3.24,"['Drama', 'Romance']",180.0,French,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire, to assert herself as a woman and as an adult. In front of others, Adele grows, seeks herself, loses herself, finds herself.","['Wild Bunch', 'SCOPE Pictures', ""Quat'sous Films"", 'France 2 Cinéma', 'RTBF', 'Alcatraz Films', 'Vértigo Films']",518305,79961,85346,1700,15972,53420,26261,289116
303,Salem's Lot,Tobe Hooper,3.27,"['Mystery', 'Horror']",184.0,English,"Ben Mears has returned to his hometown to write a book about the supposedly haunted Marsten House. When people around the Marsten House start dying mysteriously, Mears discovers that the owner of the mansion is actually a vampire who is turning them into an army of undead slaves.","['Warner Bros. Television', 'Warner Bros. Pictures']",56786,29307,12882,98,486,11033,1901,38164
304,The Place Beyond the Pines,Derek Cianfrance,3.79,"['Drama', 'Crime']",140.0,English,"A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.","['Sidney Kimmel Entertainment', 'Electric City Entertainment', 'Verisimilitude', 'Hunting Lane Films', 'Silverwood Films', 'Sierra/Affinity']",463963,67760,126534,5100,1543,47976,34053,317148
305,Super Mario Bros.,"Annabel Jankel, Rocky Morton",2.11,"['Family', 'Adventure', 'Comedy', 'Fantasy']",104.0,English,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.","['Hollywood Pictures', 'Cinergi Pictures', 'Allied Filmmakers', 'Lightmotive']",130799,21800,18199,370,13022,10331,3357,75344
306,Eraserhead,David Lynch,3.85,"['Fantasy', 'Horror']",89.0,English,"First-time father Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",['AFI'],598506,198939,187365,8400,6734,50226,79037,405987
307,X-Men,Bryan Singer,3.33,"['Science Fiction', 'Action', 'Adventure']",104.0,English,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.","[""The Donners' Company"", 'Bad Hat Harry Productions', '20th Century Fox', 'Marvel Entertainment Group']",1125600,122880,196330,760,4071,192917,30692,598990
308,Dracula,Tod Browning,3.56,['Horror'],74.0,English,"British estate agent Renfield travels to Transylvania to meet the mysterious Count Dracula, who is interested in leasing a castle in London. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together and Dracula, a secret vampire, begins preying on London socialites.",['Universal Pictures'],178551,82678,47821,1100,587,26843,13361,118373
309,Toy Story 2,John Lasseter,3.93,"['Family', 'Animation', 'Comedy']",92.0,English,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",['Pixar'],2382236,186860,475553,4200,5296,170483,217608,1095048
310,Being John Malkovich,Spike Jonze,4.07,"['Comedy', 'Fantasy', 'Drama']",113.0,English,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.","['Propaganda Films', 'Single Cell Pictures', 'Gramercy Pictures']",653109,124533,195146,5400,2256,39937,70810,411152
311,Con Air,Simon West,3.43,"['Action', 'Thriller', 'Crime']",116.0,English,"Newly-paroled former US Army ranger Cameron Poe is headed back to his wife, but must fly home aboard a prison transport flight dubbed ""Jailbird"" taking the “worst of the worst” prisoners, a group described as “pure predators”, to a new super-prison. Poe faces impossible odds when the transport plane is skyjacked mid-flight by the most vicious criminals in the country led by the mastermind — genius serial killer Cyrus ""The Virus"" Grissom, and backed by black militant Diamond Dog and psychopath Billy Bedlam.","['Touchstone Pictures', 'Jerry Bruckheimer Films']",285996,39249,58138,904,2044,41665,12829,167455
312,Muppets from Space,Tim Hill,3.35,"['Family', 'Comedy', 'Science Fiction', 'Fantasy']",88.0,English,"When Gonzo's breakfast cereal tells him that he's the descendant of aliens from another planet, his attempts at extraterrestrial communication get him kidnapped by a secret government agency, prompting the Muppets to spring into action. It's hard to believe Gonzo's story at first, but Kermit and friends soon find themselves on an epic journey into outer space filled with plenty of intergalactic misadventures.","['Columbia Pictures', 'Jim Henson Pictures']",61491,12919,12813,533,382,9146,3737,31988
313,True Lies,James Cameron,3.59,"['Thriller', 'Action']",140.0,English,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the United States.","['Lightstorm Entertainment', '20th Century Fox']",257420,45848,54404,273,1257,31717,10203,153015
314,Across the Universe,Julie Taymor,3.48,"['Romance', 'Fantasy', 'Drama']",133.0,English,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.","['Revolution Studios', 'Team Todd', 'Gross Entertainment', 'Sound Films']",193947,35671,43468,4000,2489,19210,14600,100575
315,Creepshow,George A. Romero,3.55,"['Comedy', 'Horror']",120.0,English,"Five tales in the style of classic '50s horror comics, involving a murdered man emerging from the grave, a meteor's ooze that makes everything grow, a snack for a crated creature, a scheming husband, and a malevolent millionaire with an insect phobia.","['Laurel Entertainment', 'United Film Distribution Company (UFDC)']",113290,49258,31885,474,456,15180,7884,71848
316,American Honey,Andrea Arnold,3.77,['Drama'],163.0,English,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.","['BFI', 'Maven Screen Media', 'Film4 Productions', 'Parts & Labor', 'Pulse Films']",181502,63529,53021,3400,1411,18551,18285,124251
317,It,Tommy Lee Wallace,3.21,"['Drama', 'Horror', 'Mystery']",192.0,English,"In 1960, seven outcast kids known as ""The Losers' Club"" fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.","['Lorimar Television', 'Green/Epstein Productions', 'The Konigsberg/Sanitsky Company']",376771,60668,65333,1300,3867,58620,16416,203759
318,Good Morning,Yasujirō Ozu,4.2,"['Family', 'Drama', 'Comedy']",94.0,Japanese,"A lighthearted take on director Yasujiro Ozu’s perennial theme of the challenges of inter­generational relationships, Good Morning tells the story of two young boys who stop speaking in protest after their parents refuse to buy a television set. Ozu weaves a wealth of subtle gags through a family portrait as rich as those of his dramatic films, mocking the foibles of the adult world through the eyes of his child protagonists. Shot in stunning color and set in a suburb of Tokyo where housewives gossip about the neighbors’ new washing machine and unemployed husbands look for work as door-to-door salesmen, this charming comedy refashions Ozu’s own silent classic I Was Born, But . . . to gently satirize consumerism in postwar Japan.",['Shochiku'],69659,36315,28137,851,80,3259,9569,49856
319,The Holy Mountain,Alejandro Jodorowsky,4.15,['Drama'],113.0,Spanish,The Alchemist assembles together a group of people from all walks of life to represent the planets in the solar system. The occult adept's intention is to put his recruits through strange mystical rites and divest them of their worldly baggage before embarking on a trip to Lotus Island. There they ascend the Holy Mountain to displace the immortal gods who secretly rule the universe.,['Producciones Zohar'],182944,66737,66115,6600,1428,9680,37604,122297
320,From Up on Poppy Hill,Goro Miyazaki,3.72,"['Animation', 'Drama']",91.0,Japanese,"Yokohama, 1963. Japan is picking itself up from the devastation of World War II and preparing to host the 1964 Olympics—and the mood is one of both optimism and conflict as the young generation struggles to throw off the shackles of a troubled past. Against this backdrop of hope and change, a friendship begins to blossom between high school students Umi and Shun—but a buried secret from their past emerges to cast a shadow on the future and pull them apart.","['Studio Ghibli', 'Hakuhodo DY Media Partners', 'Mitsubishi', 'KDDI', 'Kodansha', 'Mitsubishi Corporation']",299509,66097,81447,2400,726,35049,28027,200785
321,Mr. & Mrs. Smith,Alfred Hitchcock,3.11,"['Comedy', 'Romance']",95.0,English,"Happily married for three years, Ann and David Smith live in New York. One morning Ann asks David if he had to do it over again, would he marry her? To her shock, he answers, ""No"". Later that day, they separately discover that, due to a legal complication, they are not legally married.",['RKO Radio Pictures'],14058,6879,1858,3,113,3224,173,8973
322,Juice,Ernest R. Dickerson,3.57,"['Action', 'Drama', 'Crime', 'Thriller']",96.0,English,"Four Harlem friends -- Bishop, Q, Steel and Raheem -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps.","['Paramount Pictures', 'Island World', 'Original Film']",48043,12267,13436,410,111,6224,2856,31237
323,Tiger Girl,Jakob Lass,3.07,['Action'],90.0,German,"Having failed to get into the police force, Margarete takes up training as a security guard. One night she runs into a sexually agressive ex-colleague who insists on hailing a taxi to take her home to his place. Enter Tiger: short brown hair, a tough girl and a fighter, the cab driver. Realising that the situation is far from consensual, Tiger speeds off with Margarete, leaving her companion standing in the street. It won’t be the last time she rushes to Margarete’s aid. Tiger lives in an attic flat with two men. She knows how to wield a baseball bat. Stealing a uniform from security and renaming Margarete ‘Vanilla’, she begins to steer her life in a completely different direction.","['Constantin Film', 'ARD']",2155,1054,276,0,63,377,42,1511
324,Patti Cake$,Geremy Jasper,3.47,"['Music', 'Drama']",108.0,English,"Straight out of Jersey comes Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, an aspiring rapper fighting through a world of strip malls and strip clubs on an unlikely quest for glory.","['Stay Gold Features', 'RT Features', 'Department of Motion Pictures', 'Maiden Voyage Pictures']",13429,4393,2629,13,122,2173,376,9374
325,Jurassic Park,Steven Spielberg,4.11,"['Science Fiction', 'Adventure']",127.0,English,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.","['Universal Pictures', 'Amblin Entertainment']",2795546,304188,821505,51000,5450,174864,438957,1524421
326,Showgirls,Paul Verhoeven,3.38,['Drama'],131.0,English,"Fresh to Las Vegas with no connections, Nomi Malone takes a job as an exotic dancer. Her talents are quickly noticed by Cristal, a headlining dancer who senses an opportunity to bolster her own act. But Nomi won’t play second fiddle and soon begins her venomous path to the top, ruthlessly backstabbing anyone who gets in her way.","['Pathé', 'Chargeurs', 'Charles Evans Productions', 'Carolco Pictures', 'Vegas Productions']",208941,55753,52743,2700,6582,21283,17918,133004
327,Harry Potter and the Goblet of Fire,Mike Newell,3.85,"['Adventure', 'Fantasy']",157.0,English,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.","['Warner Bros. Pictures', 'Heyday Films', 'Patalex IV Productions Limited']",2998849,216752,728409,12000,8935,242414,335826,1562442
328,The Golden Compass,Chris Weitz,2.67,"['Fantasy', 'Adventure']",113.0,English,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['Depth of Field', 'New Line Cinema', 'Scholastic Productions', 'Ingenious Media']",293040,20638,22658,226,7251,32362,5028,126564
329,The Godfather Part II,Francis Ford Coppola,4.59,"['Crime', 'Drama']",202.0,English,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.","['Paramount Pictures', 'The Coppola Company', 'American Zoetrope']",1438692,280353,524247,37000,1724,35828,507887,947967
330,Troll 2,Claudio Fragasso,2.35,"['Fantasy', 'Horror']",95.0,English,"When young Joshua learns that he will be going on vacation with his family to a small town called Nilbog, he protests adamantly. He is warned by the spirit of his deceased grandfather that goblins populate the town. His parents, Michael and Diana, dismiss his apprehensions, but soon learn to appreciate their son's warnings. Guided by his grandfather's ghost, will Joshua and his family stand a chance in fighting off these evil beings?",['Filmirage'],60876,18922,15218,305,6718,3460,5669,38079
331,The 13th Warrior,John McTiernan,3.11,"['History', 'Action', 'Adventure']",102.0,English,"A Muslim ambassador exiled from his homeland joins a group of Vikings, initially offended by their behavior but growing to respect them. As they travel together, they learn of a legendary evil closing in and must unite to confront this formidable force.","['Touchstone Pictures', 'Crichton/McTiernan Productions']",60349,10917,9292,205,875,10401,1534,35957
332,Frankenstein,James Whale,3.81,"['Science Fiction', 'Horror', 'Drama']",70.0,English,"Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.",['Universal Pictures'],252258,106585,68256,1000,651,24923,22319,157375
333,12 Years a Slave,Steve McQueen,4.15,"['History', 'Drama']",134.0,English,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.","['New Regency Pictures', 'Plan B Entertainment', 'River Road Entertainment', 'Regency Enterprises', 'Film4 Productions']",971602,130003,215098,1200,1887,50585,111514,558020
334,Alice in Wonderland,"Clyde Geronimi, Wilfred Jackson",3.77,"['Fantasy', 'Animation', 'Family', 'Adventure']",75.0,English,"On a golden afternoon, wildly curious young Alice tumbles into the burrow and enters the merry, madcap world of Wonderland full of whimsical escapades.",['Walt Disney Productions'],921246,102892,178852,8000,3054,74163,80372,399698
335,The Bourne Ultimatum,Paul Greengrass,3.72,"['Action', 'Mystery', 'Drama', 'Thriller']",115.0,English,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.","['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again', 'KanZaman Services', 'Peninsula Films', 'Studio Babelsberg']",496378,50651,80609,547,1441,48907,19070,244910
336,The Boy in the Striped Pyjamas,Mark Herman,3.65,"['War', 'History', 'Drama']",94.0,English,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.","['BBC Film', 'Miramax', 'Heyday Films']",1069386,64629,182326,1900,8472,96683,92555,589757
337,Willy Wonka & the Chocolate Factory,Mel Stuart,3.8,"['Comedy', 'Family', 'Fantasy']",99.0,English,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",['Wolper Pictures'],975809,94521,209366,4800,2925,74688,75127,465744
338,Catch Me If You Can,Steven Spielberg,4.04,"['Drama', 'Crime']",141.0,English,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.","['Parkes/MacDonald Productions', 'Kemp Company', 'Splendid Pictures']",2481032,213468,740210,17000,2833,157846,277591,1542725
339,Class of Nuke 'Em High,"Lloyd Kaufman, Richard W. Haines",3.03,"['Science Fiction', 'Horror', 'Thriller', 'Comedy']",85.0,English,The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.,['Troma Entertainment'],19320,8307,4362,37,410,3660,642,12468
340,Conan the Barbarian,John Milius,3.47,"['Fantasy', 'Action', 'Adventure']",129.0,English,"A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.","['Universal Pictures', 'The De Laurentiis Company', 'Pressman Film', 'Estudios Churubusco Azteca']",142499,30756,31435,2700,1144,19869,8508,85334
341,Notorious,George Tillman Jr.,3.12,"['Drama', 'Music', 'History']",122.0,English,"""Notorious"" is the story of Christopher Wallace. Through raw talent and sheer determination, Wallace transforms himself from Brooklyn street hustler (once selling crack to pregnant women) to one of the greatest rappers of all time: The Notorious B.I.G. Follow his meteoric rise to fame and his refusal to succumb to expectations - redefining our notion of ""The American Dream.""",['Fox Searchlight Pictures'],32339,4799,4250,36,353,6519,694,19740
342,Willow,Ron Howard,3.42,"['Action', 'Fantasy', 'Adventure']",126.0,English,"The evil Queen Bavmorda hunts the newborn princess Elora Danan, a child prophesied to bring about her downfall. When the royal infant is found by Willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.","['Metro-Goldwyn-Mayer', 'Lucasfilm Ltd.', 'Imagine Entertainment']",136235,26510,28918,559,838,19790,6444,77790
343,True Grit,Henry Hathaway,3.65,['Western'],128.0,English,"The murder of her father sends a teenage tomboy on a mission of 'justice', which involves avenging her father's death. She recruits a tough old marshal, 'Rooster' Cogburn because he has 'true grit', and a reputation of getting the job done.","['Wallis-Hazen Inc.', 'Paramount Pictures']",44116,16480,8910,94,104,5583,1840,26881
344,Flags of Our Fathers,Clint Eastwood,3.43,"['Drama', 'History', 'War']",135.0,English,"There were five Marines and one Navy Corpsman photographed raising the U.S. flag on Mt. Suribachi by Joe Rosenthal on February 23, 1945. This is the story of three of the six surviving servicemen - John 'Doc' Bradley, Pvt. Rene Gagnon and Pvt. Ira Hayes - who fought in the battle to take Iwo Jima from the Japanese.","['DreamWorks Pictures', 'Amblin Entertainment', 'Malpaso Productions', 'Warner Bros. Pictures']",67354,15029,8203,13,265,11846,1339,40758
345,The Notebook,Nick Cassavetes,3.82,"['Romance', 'Drama']",123.0,English,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.","['New Line Cinema', 'Avery Pix', 'Gran Via Productions']",2171753,231256,668732,63000,15334,184567,428098,1388548
346,Justice League: Throne of Atlantis,Ethan Spaulding,2.91,"['Adventure', 'Science Fiction', 'Animation', 'Action']",72.0,English,"After the events of Justice League: War, Ocean Master and Black Manta have declared a war against the surface in retaliation of the aftermath of Apokoliptian-tyrant Darkseid's planetary invasion. Queen Atlanna seeks out her other son, Ocean Master’s half-brother Arthur Curry, a half-human with aquatic powers with no knowledge of his Atlantean heritage, to restore balance. Living with powers he doesn’t understand and seeing the danger around him, Curry takes steps to embrace his destiny, joining the Justice League, and with his new teammates he battles to save Earth from total destruction.","['DC Entertainment', 'Warner Bros. Animation']",47143,12059,6734,0,571,11524,620,30945
